STATION,year,month,PRCP_sum,TMAX_mean,TMIN_mean,TMEAN,ym
USW00093134,2007,6,0.0,77.63333333333334,60.13333333333333,68.88333333333334,2007-06-01
USW00093134,2007,7,0.0,83.25806451612904,65.16129032258064,74.20967741935483,2007-07-01
USW00093134,2007,8,0.0,85.06451612903226,65.87096774193549,75.46774193548387,2007-08-01
USW00093134,2007,9,0.52,81.2,62.36666666666667,71.78333333333333,2007-09-01
USW00093134,2007,10,0.9500000000000001,78.93548387096774,57.903225806451616,68.41935483870968,2007-10-01
USW00093134,2007,11,0.56,71.1,53.96666666666667,62.53333333333333,2007-11-01
USW00093134,2007,12,1.73,65.3225806451613,46.45161290322581,55.88709677419355,2007-12-01
USW00093134,2008,1,7.97,64.12903225806451,46.61290322580645,55.37096774193548,2008-01-01
USW00093134,2008,2,1.6400000000000001,67.17241379310344,47.89655172413793,57.53448275862069,2008-02-01
USW00093134,2008,3,0.01,72.38709677419355,51.87096774193548,62.12903225806452,2008-03-01
USW00093134,2008,4,0.04,75.16666666666667,54.3,64.73333333333333,2008-04-01
USW00093134,2008,5,0.11,74.29032258064517,57.354838709677416,65.8225806451613,2008-05-01
USW00093134,2008,6,0.0,80.96666666666667,62.233333333333334,71.6,2008-06-01
USW00093134,2008,7,0.0,82.25806451612904,64.96774193548387,73.61290322580645,2008-07-01
USW00093134,2008,8,0.0,84.51612903225806,65.93548387096774,75.2258064516129,2008-08-01
USW00093134,2008,9,0.0,83.16666666666667,64.3,73.73333333333333,2008-09-01
USW00093134,2008,10,0.02,84.93548387096774,59.935483870967744,72.43548387096774,2008-10-01
USW00093134,2008,11,1.8499999999999999,77.73333333333333,56.5,67.11666666666666,2008-11-01
USW00093134,2008,12,2.79,65.83870967741936,48.54838709677419,57.193548387096776,2008-12-01
USW00093134,2009,1,0.33999999999999997,74.2258064516129,50.83870967741935,62.53225806451613,2009-01-01
USW00093134,2009,2,3.57,67.0,49.285714285714285,58.142857142857146,2009-02-01
USW00093134,2009,3,0.33,69.45161290322581,52.0,60.725806451612904,2009-03-01
USW00093134,2009,4,0.03,72.33333333333333,54.0,63.166666666666664,2009-04-01
USW00093134,2009,5,0.0,75.35483870967742,59.67741935483871,67.51612903225806,2009-05-01
USW00093134,2009,6,0.15,74.53333333333333,60.833333333333336,67.68333333333334,2009-06-01
USW00093134,2009,7,0.0,83.80645161290323,64.25806451612904,74.03225806451613,2009-07-01
USW00093134,2009,8,0.0,84.09677419354838,64.35483870967742,74.2258064516129,2009-08-01
USW00093134,2009,9,0.0,86.4,66.0,76.2,2009-09-01
USW00093134,2009,10,2.0700000000000003,77.93548387096774,59.16129032258065,68.54838709677419,2009-10-01
USW00093134,2009,11,0.01,74.9,53.0,63.95,2009-11-01
USW00093134,2009,12,2.89,66.06451612903226,48.774193548387096,57.41935483870968,2009-12-01
USW00093134,2010,1,4.9399999999999995,69.41935483870968,50.87096774193548,60.145161290322584,2010-01-01
USW00093134,2010,2,4.27,68.53571428571429,51.357142857142854,59.94642857142857,2010-02-01
USW00093134,2010,3,0.48,72.41935483870968,53.29032258064516,62.854838709677416,2010-03-01
USW00093134,2010,4,1.65,70.23333333333333,53.46666666666667,61.85,2010-04-01
USW00093134,2010,5,0.05,73.58064516129032,57.354838709677416,65.46774193548387,2010-05-01
USW00093134,2010,6,0.0,77.1,62.56666666666667,69.83333333333333,2010-06-01
USW00093134,2010,7,0.0,79.41935483870968,64.29032258064517,71.85483870967742,2010-07-01
USW00093134,2010,8,0.0,83.16129032258064,64.0,73.58064516129032,2010-08-01
USW00093134,2010,9,0.0,84.26666666666667,63.733333333333334,74.0,2010-09-01
USW00093134,2010,10,0.94,76.38709677419355,62.25806451612903,69.3225806451613,2010-10-01
USW00093134,2010,11,0.53,71.5,51.0,61.25,2010-11-01
USW00093134,2010,12,10.23,66.29032258064517,49.903225806451616,58.096774193548384,2010-12-01
USW00093134,2011,1,0.79,70.06451612903226,48.806451612903224,59.435483870967744,2011-01-01
USW00093134,2011,2,3.29,64.96428571428571,46.17857142857143,55.57142857142857,2011-02-01
USW00093134,2011,3,3.96,68.74193548387096,50.935483870967744,59.83870967741935,2011-03-01
USW00093134,2011,4,0.0,72.56666666666666,55.43333333333333,64.0,2011-04-01
USW00093134,2011,5,0.45,73.64516129032258,56.0,64.8225806451613,2011-05-01
USW00093134,2011,6,0.01,74.46666666666667,59.0,66.73333333333333,2011-06-01
